,0,1,2,3,4,5,6
pre_stroke_nlvo,0.583,0.163,0.104,0.101,0.042,0.007,0.0
pre_stroke_lvo,0.408,0.144,0.12,0.166,0.118,0.044,0.0
no_treatment_lvo,0.05,0.079,0.136,0.164,0.247,0.135,0.189
no_treatment_nlvo,0.198,0.262,0.12,0.128,0.148,0.062,0.082
no_effect_nlvo_ivt_deaths,0.196,0.259,0.119,0.127,0.146,0.061,0.092
no_effect_lvo_ivt_deaths,0.048,0.076,0.131,0.159,0.239,0.13,0.217
no_effect_lvo_mt_deaths,0.048,0.076,0.131,0.157,0.237,0.13,0.221
t0_treatment_nlvo_ivt,0.445,0.197,0.11,0.11,0.079,0.026,0.033
t0_treatment_lvo_ivt,0.14,0.093,0.128,0.161,0.208,0.108,0.162
t0_treatment_lvo_mt,0.306,0.123,0.119,0.159,0.144,0.064,0.085
