,0,1,2,3,4,5,6
pre_stroke_nlvo,0.583,0.746,0.85,0.951,0.993,1.0,1.0
pre_stroke_lvo,0.408,0.5519999999999999,0.6719999999999999,0.838,0.956,1.0,1.0
no_treatment_lvo,0.05,0.129,0.265,0.42900000000000005,0.676,0.811,1.0
no_treatment_nlvo,0.198,0.46,0.5800000000000001,0.7080000000000001,0.8560000000000001,0.9180000000000001,1.0000000000000002
no_effect_nlvo_ivt_deaths,0.196,0.455,0.5740000000000001,0.7010000000000001,0.8470000000000001,0.9080000000000001,1.0000000000000002
no_effect_lvo_ivt_deaths,0.048,0.124,0.255,0.41400000000000003,0.653,0.783,1.0
no_effect_lvo_mt_deaths,0.048,0.124,0.255,0.41200000000000003,0.649,0.779,1.0
t0_treatment_nlvo_ivt,0.445,0.642,0.752,0.862,0.941,0.967,1.0
t0_treatment_lvo_ivt,0.14,0.233,0.361,0.522,0.73,0.838,1.0
t0_treatment_lvo_mt,0.306,0.429,0.548,0.7070000000000001,0.8510000000000001,0.915,1.0
