,mRS=0,mRS=1,mRS=2,mRS=3,mRS=4,mRS=5,mRS=6
drip_ship_lvo_ivt,0.1035574981319753,0.0918825251499192,0.1324403464502056,0.1622414776458041,0.2184492249755527,0.1145854821835684,0.1768434454629744
drip_ship_lvo_ivt_mt,0.1147156594766171,0.1113304159576028,0.1457092030418678,0.1727709995182985,0.2059444674539756,0.1003650768457907,0.1491641777058472
drip_ship_lvo_mix,0.1138201172875799,0.1098320321182366,0.1446961165299484,0.1719650085713196,0.2069169327776432,0.1014635635491273,0.1513062291661447
drip_ship_lvo_mt,0.1144924449435074,0.1113929142640856,0.1458185242070611,0.1728429038567274,0.2059694859809299,0.1003400470994151,0.1491436796482732
drip_ship_nlvo_ivt,0.3613422530664482,0.227713083582574,0.1160273097465376,0.1190723820377712,0.0970717807871541,0.0339256660628374,0.0448475247166772
drip_ship_weighted,0.1825001676977511,0.2076529710549991,0.125320891494013,0.1385178273777285,0.165892554797462,0.0758636183923887,0.1042519691856572
drip_ship_weighted_treated,0.2365450460039861,0.168279102286136,0.1304817220968712,0.145740106299337,0.1524541736977076,0.0679773315861575,0.0985225180298041
mothership_lvo_ivt,0.0970507503720129,0.0910350061030738,0.1329262736373327,0.1622810487958264,0.2205428990592219,0.1159877057598081,0.180176316272724
mothership_lvo_ivt_mt,0.1552318042855949,0.1214719949001676,0.1440927262194545,0.1729827831300678,0.1894883333362658,0.0892062142156147,0.1275261439128344
mothership_lvo_mix,0.1507233093328819,0.1191134090524223,0.1432274291558953,0.1721534974436505,0.1918947756985612,0.0912815327485596,0.1316060465680287
mothership_lvo_mt,0.1552318042855949,0.1214719949001676,0.1440927262194545,0.1729827831300678,0.1894883333362658,0.0892062142156147,0.1275261439128344
mothership_nlvo_ivt,0.344418101454448,0.232942243335823,0.1169517966512481,0.1206235555274326,0.1012355116813534,0.0358937376203451,0.0479350537293496
mothership_weighted,0.1850420559568617,0.2094626118991682,0.1252506884762987,0.1387328589607825,0.164521550035829,0.0748289705790193,0.1021612640920404
mothership_weighted_treated,0.2467598899847839,0.1755513333994479,0.1301996039233586,0.1466042332191444,0.1469446475858434,0.0638194910710355,0.090120800816386
no_treatment_nlvo,0.198,0.262,0.11999999999999994,0.128,0.14800000000000002,0.062000000000000055,0.08199999999999996
no_treatment_lvo,0.05,0.079,0.136,0.16399999999999998,0.24700000000000005,0.135,0.18899999999999995
no_treatment_weighted,0.15434,0.20801499999999998,0.12471999999999996,0.13862,0.17720500000000006,0.08353500000000004,0.11356499999999994
no_treatment_weighted_treated,0.15434,0.20801499999999998,0.12471999999999996,0.13862,0.17720500000000006,0.08353500000000004,0.11356499999999994
