,mRS=0,mRS=1,mRS=2,mRS=3,mRS=4,mRS=5,mRS=6
drip_ship_lvo_ivt,0.0026189440414304,0.0002928011081625,0.0002229695463032,3.241309771359925e-05,0.0008261170754678,0.0005461263265445,0.0012850232519948
drip_ship_lvo_ivt_mt,0.0098297125419254,0.0039906854442921,0.0014290695867513,0.0012926292108784,0.004515684917798,0.003554830577721,0.0072889813869015
drip_ship_lvo_mix,0.0092439034869289,0.0036530404712095,0.0011765597276724,0.0011119202154757,0.0042160707682868,0.0032910117858846,0.0067743441314114
drip_ship_lvo_mt,0.0103667680244477,0.0037290422920403,0.0005363535481229,0.0008047960079823,0.0046017459103861,0.0034660388166673,0.007232909190507
drip_ship_nlvo_ivt,0.0066725534794007,0.002145261699779,0.0003897122727197,0.0006364283374863,0.0016018122802879,0.0007444604645654,0.0011565280838551
drip_ship_weighted,0.0017989568367905,0.0003733527304661,0.0001441974159051,0.0001293567701915,0.000670152256281,0.0004741781872841,0.000943607755214
drip_ship_weighted_treated,0.0072292963115677,0.0015003570191756,0.000579472406242,0.000519833718351,0.0026930769740782,0.0019055346688998,0.0037919865139765
mothership_lvo_ivt,0.0056834441959972,0.0008969517618492,0.0003502637941373,4.431807417311948e-05,0.0018789420837274,0.0012808947865512,0.0030866637843484
mothership_lvo_ivt_mt,0.0122659287807114,0.002497922821629,0.0009313543746801,0.0003218034111455,0.004746034479182,0.0030678497394848,0.0057741908119756
mothership_lvo_mix,0.0117558256613677,0.0023738584567796,0.0008862845374058,0.0002978237104544,0.0045238604152308,0.0029293721928245,0.0055658991198013
mothership_lvo_mt,0.0122659287807114,0.002497922821629,0.0009313543746801,0.0003218034111455,0.004746034479182,0.0030678497394848,0.0057741908119756
mothership_nlvo_ivt,0.0151983618950892,0.004438861703397,0.0007545591026147,0.0013147980186602,0.0038652988464113,0.001869390594625,0.0029732372179513
mothership_weighted,0.0033496853927152,0.0002574400673177,0.0002034350328915,0.0001948197461174,0.0010443678008385,0.0005981406231004,0.0010651257773291
mothership_weighted_treated,0.0134610612990977,0.0010345498519188,0.0008175249693873,0.0007829035378861,0.0041969013019746,0.002403690690041,0.0042803194028481
no_treatment_nlvo,,,,,,,
no_treatment_lvo,,,,,,,
no_treatment_weighted,,,,,,,
no_treatment_weighted_treated,,,,,,,
