treatment_time_mins,mRS<=0,mRS<=1,mRS<=2,mRS<=3,mRS<=4,mRS<=5,mRS<=6
0.0,0.14,0.233,0.361,0.522,0.73,0.838,1.0
0.1,0.13996,0.23296,0.36097,0.52197,0.72998,0.83799,1.0
0.2,0.13993,0.23293,0.36094,0.52194,0.72996,0.83797,1.0
0.3,0.13989,0.23289,0.36091,0.52191,0.72994,0.83796,1.0
0.4,0.13985,0.23286,0.36088,0.52189,0.72992,0.83795,1.0
0.5,0.13981,0.23282,0.36085,0.52186,0.72991,0.83794,1.0
0.6,0.13978,0.23278,0.36082,0.52183,0.72989,0.83792,1.0
0.7,0.13974,0.23275,0.36079,0.5218,0.72987,0.83791,1.0
0.8,0.1397,0.23271,0.36076,0.52177,0.72985,0.8379,1.0
0.9,0.13966,0.23268,0.36072,0.52174,0.72983,0.83788,1.0
1.0,0.13963,0.23264,0.36069,0.52171,0.72981,0.83787,1.0
1.1,0.13959,0.2326,0.36066,0.52168,0.72979,0.83786,1.0
1.2,0.13955,0.23257,0.36063,0.52166,0.72977,0.83784,1.0
1.3,0.13952,0.23253,0.3606,0.52163,0.72975,0.83783,1.0
1.4,0.13948,0.23249,0.36057,0.5216,0.72974,0.83782,1.0
1.5,0.13944,0.23246,0.36054,0.52157,0.72972,0.83781,1.0
1.6,0.1394,0.23242,0.36051,0.52154,0.7297,0.83779,1.0
1.7,0.13937,0.23239,0.36048,0.52151,0.72968,0.83778,1.0
1.8,0.13933,0.23235,0.36045,0.52148,0.72966,0.83777,1.0
1.9,0.13929,0.23231,0.36042,0.52145,0.72964,0.83775,1.0
2.0,0.13926,0.23228,0.36039,0.52143,0.72962,0.83774,1.0
2.1,0.13922,0.23224,0.36036,0.5214,0.7296,0.83773,1.0
2.2,0.13918,0.23221,0.36033,0.52137,0.72958,0.83772,1.0
2.3,0.13914,0.23217,0.3603,0.52134,0.72957,0.8377,1.0
2.4,0.13911,0.23213,0.36027,0.52131,0.72955,0.83769,1.0
2.5,0.13907,0.2321,0.36024,0.52128,0.72953,0.83768,1.0
2.6,0.13903,0.23206,0.36021,0.52125,0.72951,0.83766,1.0
2.7,0.139,0.23203,0.36017,0.52122,0.72949,0.83765,1.0
2.8,0.13896,0.23199,0.36014,0.5212,0.72947,0.83764,1.0
2.9,0.13892,0.23195,0.36011,0.52117,0.72945,0.83762,1.0
3.0,0.13888,0.23192,0.36008,0.52114,0.72943,0.83761,1.0
3.1,0.13885,0.23188,0.36005,0.52111,0.72941,0.8376,1.0
3.2,0.13881,0.23185,0.36002,0.52108,0.72939,0.83759,1.0
3.3,0.13877,0.23181,0.35999,0.52105,0.72938,0.83757,1.0
3.4,0.13874,0.23177,0.35996,0.52102,0.72936,0.83756,1.0
3.5,0.1387,0.23174,0.35993,0.52099,0.72934,0.83755,1.0
3.6,0.13866,0.2317,0.3599,0.52096,0.72932,0.83753,1.0
3.7,0.13862,0.23167,0.35987,0.52094,0.7293,0.83752,1.0
3.8,0.13859,0.23163,0.35984,0.52091,0.72928,0.83751,1.0
3.9,0.13855,0.23159,0.35981,0.52088,0.72926,0.83749,1.0
4.0,0.13851,0.23156,0.35978,0.52085,0.72924,0.83748,1.0
4.1,0.13848,0.23152,0.35975,0.52082,0.72922,0.83747,1.0
4.2,0.13844,0.23149,0.35972,0.52079,0.72921,0.83746,1.0
4.3,0.1384,0.23145,0.35969,0.52076,0.72919,0.83744,1.0
4.4,0.13837,0.23142,0.35966,0.52073,0.72917,0.83743,1.0
4.5,0.13833,0.23138,0.35963,0.52071,0.72915,0.83742,1.0
4.6,0.13829,0.23134,0.35959,0.52068,0.72913,0.8374,1.0
4.7,0.13825,0.23131,0.35956,0.52065,0.72911,0.83739,1.0
4.8,0.13822,0.23127,0.35953,0.52062,0.72909,0.83738,1.0
4.9,0.13818,0.23124,0.3595,0.52059,0.72907,0.83737,1.0
5.0,0.13814,0.2312,0.35947,0.52056,0.72905,0.83735,1.0
5.1,0.13811,0.23116,0.35944,0.52053,0.72904,0.83734,1.0
5.2,0.13807,0.23113,0.35941,0.5205,0.72902,0.83733,1.0
5.3,0.13803,0.23109,0.35938,0.52048,0.729,0.83731,1.0
5.4,0.138,0.23106,0.35935,0.52045,0.72898,0.8373,1.0
5.5,0.13796,0.23102,0.35932,0.52042,0.72896,0.83729,1.0
5.6,0.13792,0.23098,0.35929,0.52039,0.72894,0.83727,1.0
5.7,0.13789,0.23095,0.35926,0.52036,0.72892,0.83726,1.0
5.8,0.13785,0.23091,0.35923,0.52033,0.7289,0.83725,1.0
5.9,0.13781,0.23088,0.3592,0.5203,0.72888,0.83724,1.0
6.0,0.13778,0.23084,0.35917,0.52027,0.72886,0.83722,1.0
6.1,0.13774,0.2308,0.35914,0.52025,0.72885,0.83721,1.0
6.2,0.1377,0.23077,0.35911,0.52022,0.72883,0.8372,1.0
6.3,0.13766,0.23073,0.35908,0.52019,0.72881,0.83718,1.0
6.4,0.13763,0.2307,0.35905,0.52016,0.72879,0.83717,1.0
6.5,0.13759,0.23066,0.35901,0.52013,0.72877,0.83716,1.0
6.6,0.13755,0.23063,0.35898,0.5201,0.72875,0.83714,1.0
6.7,0.13752,0.23059,0.35895,0.52007,0.72873,0.83713,1.0
6.8,0.13748,0.23055,0.35892,0.52004,0.72871,0.83712,1.0
6.9,0.13744,0.23052,0.35889,0.52002,0.72869,0.83711,1.0
7.0,0.13741,0.23048,0.35886,0.51999,0.72868,0.83709,1.0
7.1,0.13737,0.23045,0.35883,0.51996,0.72866,0.83708,1.0
7.2,0.13733,0.23041,0.3588,0.51993,0.72864,0.83707,1.0
7.3,0.1373,0.23037,0.35877,0.5199,0.72862,0.83705,1.0
7.4,0.13726,0.23034,0.35874,0.51987,0.7286,0.83704,1.0
7.5,0.13722,0.2303,0.35871,0.51984,0.72858,0.83703,1.0
7.6,0.13719,0.23027,0.35868,0.51981,0.72856,0.83701,1.0
7.7,0.13715,0.23023,0.35865,0.51979,0.72854,0.837,1.0
7.8,0.13711,0.2302,0.35862,0.51976,0.72852,0.83699,1.0
7.9,0.13708,0.23016,0.35859,0.51973,0.7285,0.83698,1.0
8.0,0.13704,0.23012,0.35856,0.5197,0.72849,0.83696,1.0
8.1,0.137,0.23009,0.35853,0.51967,0.72847,0.83695,1.0
8.2,0.13697,0.23005,0.3585,0.51964,0.72845,0.83694,1.0
8.3,0.13693,0.23002,0.35847,0.51961,0.72843,0.83692,1.0
8.4,0.13689,0.22998,0.35844,0.51958,0.72841,0.83691,1.0
8.5,0.13686,0.22995,0.3584,0.51956,0.72839,0.8369,1.0
8.6,0.13682,0.22991,0.35837,0.51953,0.72837,0.83688,1.0
8.7,0.13678,0.22987,0.35834,0.5195,0.72835,0.83687,1.0
8.8,0.13675,0.22984,0.35831,0.51947,0.72833,0.83686,1.0
8.9,0.13671,0.2298,0.35828,0.51944,0.72832,0.83685,1.0
9.0,0.13667,0.22977,0.35825,0.51941,0.7283,0.83683,1.0
9.1,0.13664,0.22973,0.35822,0.51938,0.72828,0.83682,1.0
9.2,0.1366,0.22969,0.35819,0.51935,0.72826,0.83681,1.0
9.3,0.13656,0.22966,0.35816,0.51933,0.72824,0.83679,1.0
9.4,0.13653,0.22962,0.35813,0.5193,0.72822,0.83678,1.0
9.5,0.13649,0.22959,0.3581,0.51927,0.7282,0.83677,1.0
9.6,0.13645,0.22955,0.35807,0.51924,0.72818,0.83675,1.0
9.7,0.13642,0.22952,0.35804,0.51921,0.72816,0.83674,1.0
9.8,0.13638,0.22948,0.35801,0.51918,0.72814,0.83673,1.0
9.9,0.13634,0.22944,0.35798,0.51915,0.72813,0.83672,1.0
10.0,0.13631,0.22941,0.35795,0.51912,0.72811,0.8367,1.0
10.1,0.13627,0.22937,0.35792,0.5191,0.72809,0.83669,1.0
10.2,0.13624,0.22934,0.35789,0.51907,0.72807,0.83668,1.0
10.3,0.1362,0.2293,0.35786,0.51904,0.72805,0.83666,1.0
10.4,0.13616,0.22927,0.35783,0.51901,0.72803,0.83665,1.0
10.5,0.13613,0.22923,0.3578,0.51898,0.72801,0.83664,1.0
10.6,0.13609,0.22919,0.35776,0.51895,0.72799,0.83662,1.0
10.7,0.13605,0.22916,0.35773,0.51892,0.72797,0.83661,1.0
10.8,0.13602,0.22912,0.3577,0.51889,0.72795,0.8366,1.0
10.9,0.13598,0.22909,0.35767,0.51887,0.72794,0.83659,1.0
11.0,0.13594,0.22905,0.35764,0.51884,0.72792,0.83657,1.0
11.1,0.13591,0.22902,0.35761,0.51881,0.7279,0.83656,1.0
11.2,0.13587,0.22898,0.35758,0.51878,0.72788,0.83655,1.0
11.3,0.13583,0.22895,0.35755,0.51875,0.72786,0.83653,1.0
11.4,0.1358,0.22891,0.35752,0.51872,0.72784,0.83652,1.0
11.5,0.13576,0.22887,0.35749,0.51869,0.72782,0.83651,1.0
11.6,0.13573,0.22884,0.35746,0.51866,0.7278,0.83649,1.0
11.7,0.13569,0.2288,0.35743,0.51864,0.72778,0.83648,1.0
