treatment_time_mins,mRS<=0,mRS<=1,mRS<=2,mRS<=3,mRS<=4,mRS<=5,mRS<=6
0.0,0.306,0.429,0.548,0.707,0.851,0.915,1.0
0.1,0.3059,0.42891,0.54793,0.70695,0.85097,0.91498,1.0
0.2,0.30581,0.42883,0.54787,0.70689,0.85094,0.91496,1.0
0.3,0.30571,0.42874,0.5478,0.70684,0.85091,0.91495,1.0
0.4,0.30562,0.42866,0.54774,0.70679,0.85088,0.91493,1.0
0.5,0.30552,0.42857,0.54767,0.70673,0.85085,0.91491,1.0
0.6,0.30542,0.42849,0.54761,0.70668,0.85082,0.91489,1.0
0.7,0.30533,0.4284,0.54754,0.70663,0.85079,0.91487,1.0
0.8,0.30523,0.42832,0.54748,0.70657,0.85076,0.91486,1.0
0.9,0.30514,0.42823,0.54741,0.70652,0.85073,0.91484,1.0
1.0,0.30504,0.42815,0.54735,0.70647,0.8507,0.91482,1.0
1.1,0.30495,0.42806,0.54728,0.70641,0.85067,0.9148,1.0
1.2,0.30485,0.42798,0.54722,0.70636,0.85064,0.91478,1.0
1.3,0.30475,0.42789,0.54715,0.70631,0.85061,0.91476,1.0
1.4,0.30466,0.42781,0.54709,0.70625,0.85058,0.91475,1.0
1.5,0.30456,0.42772,0.54702,0.7062,0.85055,0.91473,1.0
1.6,0.30447,0.42764,0.54696,0.70615,0.85052,0.91471,1.0
1.7,0.30437,0.42755,0.54689,0.70609,0.85049,0.91469,1.0
1.8,0.30428,0.42747,0.54682,0.70604,0.85046,0.91467,1.0
1.9,0.30418,0.42738,0.54676,0.70599,0.85043,0.91466,1.0
2.0,0.30408,0.4273,0.54669,0.70593,0.8504,0.91464,1.0
2.1,0.30399,0.42721,0.54663,0.70588,0.85037,0.91462,1.0
2.2,0.30389,0.42713,0.54656,0.70582,0.85034,0.9146,1.0
2.3,0.3038,0.42704,0.5465,0.70577,0.85031,0.91458,1.0
2.4,0.3037,0.42696,0.54643,0.70572,0.85028,0.91456,1.0
2.5,0.30361,0.42687,0.54637,0.70566,0.85025,0.91455,1.0
2.6,0.30351,0.42679,0.5463,0.70561,0.85022,0.91453,1.0
2.7,0.30342,0.4267,0.54624,0.70556,0.85019,0.91451,1.0
2.8,0.30332,0.42662,0.54617,0.7055,0.85016,0.91449,1.0
2.9,0.30322,0.42653,0.54611,0.70545,0.85013,0.91447,1.0
3.0,0.30313,0.42645,0.54604,0.7054,0.8501,0.91446,1.0
3.1,0.30303,0.42636,0.54598,0.70534,0.85007,0.91444,1.0
3.2,0.30294,0.42628,0.54591,0.70529,0.85004,0.91442,1.0
3.3,0.30284,0.42619,0.54585,0.70524,0.85001,0.9144,1.0
3.4,0.30275,0.42611,0.54578,0.70518,0.84998,0.91438,1.0
3.5,0.30265,0.42602,0.54571,0.70513,0.84995,0.91436,1.0
3.6,0.30256,0.42594,0.54565,0.70508,0.84992,0.91435,1.0
3.7,0.30246,0.42585,0.54558,0.70502,0.84989,0.91433,1.0
3.8,0.30237,0.42577,0.54552,0.70497,0.84986,0.91431,1.0
