treatment_time_mins,mRS<=0,mRS<=1,mRS<=2,mRS<=3,mRS<=4,mRS<=5,mRS<=6
0.0,0.445,0.642,0.752,0.862,0.941,0.967,1.0
0.1,0.44492,0.64195,0.75196,0.86197,0.94098,0.96699,1.0
0.2,0.44484,0.64191,0.75192,0.86194,0.94097,0.96698,1.0
0.3,0.44477,0.64186,0.75188,0.86191,0.94095,0.96697,1.0
0.4,0.44469,0.64181,0.75184,0.86188,0.94094,0.96696,1.0
0.5,0.44461,0.64177,0.7518,0.86185,0.94092,0.96695,1.0
0.6,0.44453,0.64172,0.75176,0.86181,0.94091,0.96694,1.0
0.7,0.44446,0.64167,0.75172,0.86178,0.94089,0.96694,1.0
0.8,0.44438,0.64163,0.75168,0.86175,0.94088,0.96693,1.0
0.9,0.4443,0.64158,0.75164,0.86172,0.94086,0.96692,1.0
1.0,0.44422,0.64153,0.7516,0.86169,0.94084,0.96691,1.0
1.1,0.44414,0.64149,0.75156,0.86166,0.94083,0.9669,1.0
1.2,0.44407,0.64144,0.75152,0.86163,0.94081,0.96689,1.0
1.3,0.44399,0.6414,0.75148,0.8616,0.9408,0.96688,1.0
1.4,0.44391,0.64135,0.75144,0.86157,0.94078,0.96687,1.0
1.5,0.44383,0.6413,0.7514,0.86154,0.94077,0.96686,1.0
1.6,0.44376,0.64126,0.75136,0.86151,0.94075,0.96685,1.0
1.7,0.44368,0.64121,0.75132,0.86147,0.94074,0.96684,1.0
1.8,0.4436,0.64116,0.75128,0.86144,0.94072,0.96683,1.0
1.9,0.44352,0.64112,0.75124,0.86141,0.9407,0.96683,1.0
2.0,0.44344,0.64107,0.7512,0.86138,0.94069,0.96682,1.0
2.1,0.44337,0.64102,0.75116,0.86135,0.94067,0.96681,1.0
2.2,0.44329,0.64098,0.75112,0.86132,0.94066,0.9668,1.0
2.3,0.44321,0.64093,0.75108,0.86129,0.94064,0.96679,1.0
2.4,0.44313,0.64088,0.75104,0.86126,0.94063,0.96678,1.0
2.5,0.44306,0.64084,0.751,0.86123,0.94061,0.96677,1.0
2.6,0.44298,0.64079,0.75096,0.8612,0.94059,0.96676,1.0
2.7,0.4429,0.64074,0.75092,0.86117,0.94058,0.96675,1.0
2.8,0.44282,0.6407,0.75088,0.86113,0.94056,0.96674,1.0
2.9,0.44275,0.64065,0.75084,0.8611,0.94055,0.96673,1.0
3.0,0.44267,0.6406,0.7508,0.86107,0.94053,0.96672,1.0
3.1,0.44259,0.64056,0.75076,0.86104,0.94052,0.96671,1.0
3.2,0.44251,0.64051,0.75072,0.86101,0.9405,0.9667,1.0
3.3,0.44243,0.64046,0.75068,0.86098,0.94049,0.9667,1.0
3.4,0.44236,0.64042,0.75064,0.86095,0.94047,0.96669,1.0
3.5,0.44228,0.64037,0.7506,0.86092,0.94045,0.96668,1.0
3.6,0.4422,0.64032,0.75056,0.86089,0.94044,0.96667,1.0
3.7,0.44212,0.64028,0.75052,0.86086,0.94042,0.96666,1.0
3.8,0.44205,0.64023,0.75048,0.86082,0.94041,0.96665,1.0
3.9,0.44197,0.64018,0.75044,0.86079,0.94039,0.96664,1.0
4.0,0.44189,0.64014,0.7504,0.86076,0.94038,0.96663,1.0
4.1,0.44181,0.64009,0.75036,0.86073,0.94036,0.96662,1.0
4.2,0.44174,0.64005,0.75032,0.8607,0.94034,0.96661,1.0
4.3,0.44166,0.64,0.75028,0.86067,0.94033,0.9666,1.0
4.4,0.44158,0.63995,0.75023,0.86064,0.94031,0.96659,1.0
4.5,0.4415,0.63991,0.75019,0.86061,0.9403,0.96658,1.0
4.6,0.44142,0.63986,0.75015,0.86058,0.94028,0.96657,1.0
4.7,0.44135,0.63981,0.75011,0.86054,0.94027,0.96657,1.0
4.8,0.44127,0.63977,0.75007,0.86051,0.94025,0.96656,1.0
4.9,0.44119,0.63972,0.75003,0.86048,0.94023,0.96655,1.0
5.0,0.44111,0.63967,0.74999,0.86045,0.94022,0.96654,1.0
5.1,0.44104,0.63963,0.74995,0.86042,0.9402,0.96653,1.0
5.2,0.44096,0.63958,0.74991,0.86039,0.94019,0.96652,1.0
5.3,0.44088,0.63953,0.74987,0.86036,0.94017,0.96651,1.0
5.4,0.4408,0.63949,0.74983,0.86033,0.94016,0.9665,1.0
5.5,0.44073,0.63944,0.74979,0.8603,0.94014,0.96649,1.0
5.6,0.44065,0.63939,0.74975,0.86026,0.94012,0.96648,1.0
